"","Country","Region","Market","Product","Date","Open","High","Low","Close","Currency"
"","Cameroon","Market Average","Market Average","meat_beef","2012-08-01","1872.67","1879.71","1865.62","1872.17","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2012-09-01","1874.48","1897.32","1868","1897.32","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2012-10-01","1891.65","1902.77","1880.54","1887.61","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2012-11-01","1889.81","1901.87","1879.97","1901.87","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2012-12-01","1899.99","1910.04","1889.95","1907.39","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2013-01-01","1906.36","1915.76","1896.97","1903.08","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2013-02-01","1905.93","1914.37","1897.48","1900.7","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2013-03-01","1904.97","1912.84","1897.09","1910.35","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2013-04-01","1911.23","1918.73","1903.72","1910.26","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2013-05-01","1912.68","1919.55","1905.82","1912.68","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2013-06-01","1915.07","1921.44","1908.7","1915.41","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2013-07-01","1917.68","1925.39","1911.69","1925.39","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2013-08-01","1925.08","1931.59","1918.57","1923.88","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2013-09-01","1926.16","1932.27","1920.05","1923.17","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2013-10-01","1926.58","1932.49","1920.67","1926.1","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2013-11-01","1928.86","1938.27","1923.21","1938.27","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2013-12-01","1937.47","1947.78","1930.81","1947.78","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2014-01-01","1945.99","1953.49","1938.48","1939.13","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2014-02-01","1943.1","1957.8","1935.72","1957.8","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2014-03-01","1955.39","1964.45","1946.33","1953.62","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2014-04-01","1955.72","1963.85","1947.59","1955.93","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2014-05-01","1958.23","1965.61","1950.85","1950.95","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2014-06-01","1955.87","1963.24","1948.5","1955.13","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2014-07-01","1958.3","1965.1","1951.51","1964.65","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2014-08-01","1965.03","1971.88","1958.17","1970.3","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2014-09-01","1970.52","1977.26","1963.78","1968.54","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2014-10-01","1971.24","1977.58","1964.9","1970.89","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2014-11-01","1973.51","1979.51","1967.51","1969.87","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2014-12-01","1973.61","1994.22","1967.7","1994.22","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2015-01-01","1989.72","1999.86","1979.58","1988.43","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2015-02-01","1990","1998.99","1981.01","1989.27","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2015-03-01","1991.82","1999.9","1983.74","1987.97","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2015-04-01","1991.8","1999.3","1984.29","1998.33","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2015-05-01","1998.8","2006.22","1981.04","1981.04","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2015-06-01","1989.22","2003.54","1979.44","2003.54","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2015-07-01","2002.14","2012.69","1991.59","1999.61","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2015-08-01","2002.22","2011.59","1992.85","2004.13","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2015-09-01","2005.98","2017.79","1997.54","2017.79","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2015-10-01","2016.05","2032.5","2007","2032.5","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2015-11-01","2028.46","2039","2017.91","2024.44","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2015-12-01","2027.08","2049.57","2017.63","2049.57","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2016-01-01","2044.24","2056.76","2031.73","2042.02","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2016-02-01","2043.81","2054.76","2032.86","2045.07","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2016-03-01","2047.03","2059.81","2037.33","2059.81","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2016-04-01","2057.8","2067.94","2047.66","2066.25","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2016-05-01","2064.99","2074.67","2038.49","2038.49","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2016-06-01","2049.36","2062.88","2035.84","2058.63","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2016-07-01","2059.58","2072.05","2047.1","2069.59","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2016-08-01","2068.36","2080.06","2056.66","2062.21","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2016-09-01","2066.16","2076.71","2055.61","2056.4","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2016-10-01","2062.6","2072.72","2052.49","2052.55","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2016-11-01","2059.29","2069.14","2049.44","2068.54","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2016-12-01","2068.7","2092.85","2059.09","2092.85","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2017-01-01","2086.5","2099.61","2050.1","2050.1","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2017-02-01","2063.32","2081.49","2045.15","2053.05","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2017-03-01","2061.24","2077.44","2045.05","2062.78","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2017-04-01","2065.91","2079.99","2027.08","2027.08","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2017-05-01","2042.94","2062.4","2023.48","2034.39","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2017-06-01","2042.49","2059.62","2025.37","2034.14","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2017-07-01","2040.65","2055.78","2017.82","2017.82","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2017-08-01","2028.95","2044.81","2013.08","2027","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2017-09-01","2031.88","2045.67","2003.76","2003.76","XAF"
